ID,Head_zoom,Head_micrometer_units,Head_width (mm),Length (mm),TANK
59F,4.5,76,1.69,10.5,17
69C,4.5,81,1.80,11,17
81B,4.5,81,1.80,11,17
16C,4.5,83,1.84,11,17
63F,4.5,86,1.91,10.5,17
07D,4.5,87,1.93,12,17
10A,4.5,90,2.00,12.5,17
81A,4.5,93,2.07,13.5,17
32D,4.5,71,1.58,7.5,18
23F,4.5,72,1.60,10.5,18
24G,4.5,76,1.69,9,18
50C,4.5,79,1.76,9.5,18
46B,4.5,93,2.07,,18
99C,4.5,83,1.84,10.5,18
69D,4.5,85,1.89,12,18
13F,4.5,90,2.00,14,18
86F,4.5,94,2.09,12.5,18
46C,4.5,95,2.11,12.5,18
74C,4.5,68,1.51,9,19
15C,4.5,70,1.56,10,19
90F,4.5,75,1.67,9,19
06C,4.5,78,1.73,10.5,19
41E,4.5,80,1.78,11.5,19
47E,4.5,84,1.87,12,19
69E,4.5,86,1.91,11,19
94A,4.5,89,1.98,13,19
80B,4.5,91,2.02,14,19
35E,4.5,94,2.09,12,19
08F,4.5,68,1.51,9.5,20
55F,4.5,74,1.64,10.5,20
51F,4.5,77,1.71,11.5,20
46A,4.5,80,1.78,10,20
03F,4.5,98,2.18,14.5,20
32C,4.5,84,1.87,10.5,20
63C,4.5,86,1.91,11.5,20
68E,4.5,88,1.96,12,20
64E,4.5,90,2.00,12.5,20
57B,4.5,94,2.09,14,20
12C,4.5,67,1.49,8.5,21
43F,4.5,76,1.69,10,21
53C,4.5,81,1.80,10,21
76B,4.5,83,1.84,11,21
17C,4.5,85,1.89,10.5,21
08E,4.5,86,1.91,13,21
24D,4.5,89,1.98,11.5,21
83C,4.5,98,2.18,13,21
95C,4.5,95,2.11,12.5,21
44B,4.5,96,2.13,14,21
12D,4.5,64,1.42,7.5,22
23G,4.5,71,1.58,11.5,22
31F,4.5,78,1.73,10,22
51B,4.5,83,1.84,12.5,22
07B,4.5,85,1.89,12,22
8A,4.5,87,1.93,12,22
40F,4.5,89,1.98,13.5,22
09G,4.5,92,2.04,12,22
82B,4.5,92,2.04,13,22
71F,4,86,2.15,17,22
75D,4.5,63,1.40,9,23
40E,4.5,73,1.62,10,23
95D,4.5,77,1.71,10.5,23
49F,4.5,79,1.76,11,23
20A,4.5,82,1.82,11,23
47A,4.5,100,2.22,14,23
96F,4.5,85,1.89,12,23
88F,4.5,87,1.93,11,23
97C,4.5,90,2.00,11.5,23
21D,4.5,93,2.07,12.5,23
18D,4.5,70,1.56,9,24
42A,4.5,76,1.69,9,24
75C,4.5,78,1.73,10.5,24
01F,4.5,80,1.78,11,24
58F,4.5,82,1.82,12,24
100E,4.5,84,1.87,12,24
70E,4.5,86,1.91,12,24
53D,4.5,89,1.98,12,24
40C,4.5,91,2.02,11.5,24
48F,4.5,94,2.09,12.5,24
72E,4.5,67,1.49,9,25
08D,4.5,73,1.62,9.5,25
52A,4.5,78,1.73,10,25
100C,4.5,79,1.76,10.5,25
88D,4.5,81,1.80,11,25
65D,4.5,83,1.84,11,25
64D,4.5,85,1.89,11.5,25
80E,4.5,87,1.93,13,25
19C,4.5,93,2.07,11.5,25
73B,4.5,94,2.09,13,25
17E,4.5,63,1.40,9,26
70D,4.5,76,1.69,9.5,26
96E,4.5,78,1.73,10.5,26
78E,4.5,97,2.16,14,26
83F,4.5,82,1.82,9.5,26
50A,4.5,85,1.89,11.5,26
14G,4.5,86,1.91,13,26
93E,4.5,89,1.98,10.5,26
22G,4.5,97,2.16,14,26
79A,4.5,93,2.07,13,26
23E,4.5,68,1.51,8.5,27
