ID,Head_zoom,Head_micrometer_units,Head_width (mm),Length (mm)
41C,4.5,86,1.91,11
55C,4.5,81,1.80,12
45C,4.5,78,1.73,10
73C,4.5,86,1.91,12
62C,4.5,93,2.07,13.5
54C,4.5,83,1.84,10.5
47C,4.5,93,2.07,12.5
59C,4.5,88,1.96,12
50C,4.5,79,1.76,9.5
49C,4.5,78,1.73,10
69C,4.5,81,1.80,11
42C,4.5,74,1.64,9.5
17D,4.5,90,2.00,13
14D,4.5,93,2.07,13
05D,3.5,91,2.60,16.5
04D,4.5,76,1.69,10.5
95C,4.5,95,2.11,12.5
97C,4.5,90,2.00,11.5
88C,3.5,96,2.74,16
93C,3.5,96,2.74,16.5
86C,3.5,95,2.71,16
60D,3,95,3.17,20
56D,3,93,3.10,21
44D,2.5,85,3.40,23.5
49D,3,92,3.07,20.5
54D,3,92,3.07,19.5
57D,3,90,3.00,21
55D,4.5,81,1.80,12
47D,3,88,2.93,17
52D,3.5,90,2.57,15
45D,3.5,93,2.66,17
43D,4,89,2.23,14
41D,3,90,3.00,18.5
48D,3,85,2.83,18.5
51D,3.5,95,2.71,17.5
37D,3.5,90,2.57,16.5
58D,4,95,2.38,14
50D,4.5,93,2.07,14.5
59D,4.5,84,1.87,12
35D,3.5,88,2.51,13.5
42D,4.5,80,1.78,11
32D,4.5,71,1.58,7.5
40D,4.5,80,1.78,10
53D,4.5,89,1.98,12
38D,4.5,72,1.60,7.5
46D,4,93,2.33,13
34D,4.5,73,1.62,9
36D,4.5,97,2.16,10.5
33D,4.5,95,2.11,13
06D,4.5,84,1.87,11.5
96C,4.5,94,2.09,13
100C,4.5,79,1.76,10.5
90C,4.5,99,2.20,13.5
98C,4.5,78,1.73,10
18D,4.5,70,1.56,9
12D,4.5,64,1.42,7.5
82C,4,91,2.28,14
19D,4.5,85,1.89,12
87C,4,97,2.43,15
08D,4.5,73,1.62,9.5
16D,4.5,94,2.09,14
99C,4.5,83,1.84,10.5
03D,3.5,97,2.77,16
07D,4.5,87,1.93,12
91C,4,98,2.45,16.5
92C,4,91,2.28,13
15D,4.5,94,2.09,13.5
20D,3.5,94,2.69,16.5
94C,4.5,90,2.00,13
89C,3.5,88,2.51,16.5
81C,4.5,39,0.87,4
09D,4,91,2.28,15
11D,4.5,72,1.60,11
10D,4.5,73,1.62,10.5
85C,4.5,89,1.98,12
13D,4.5,90,2.00,12
02D,3,90,3.00,20
83C,4.5,98,2.18,13
01D,4,93,2.33,15
84C,4.5,89,1.98,13
97D,4,93,2.33,14
98D,4.5,76,1.69,10.5
93D,4.5,70,1.56,9
91D,4.5,71,1.58,10
85D,4.5,96,2.13,13
75D,4.5,63,1.40,9
99D,4.5,37,0.82,4
92D,4.5,81,1.80,13
76D,4.5,70,1.56,9
90D,3.5,96,2.74,17
81D,4.5,86,1.91,12
78D,4.5,73,1.62,11.5
95D,4.5,77,1.71,10.5
72D,3,92,3.07,20
74D,4.5,38,0.84,4
83D,3.5,90,2.57,16
89D,4,96,2.40,14
80D,4.5,84,1.87,11.5
88D,4.5,81,1.80,11
96D,4,92,2.30,14
73D,4,99,2.48,16
94D,4.5,89,1.98,13.5
87D,4.5,86,1.91,11.5
84D,3.5,85,2.43,14.5
61D,4,92,2.30,14
62D,4.5,99,2.20,14.5
67D,3.5,91,2.60,15
71D,3.5,90,2.57,16.5
68D,4,97,2.43,15.5
63D,4,94,2.35,15.5
82D,4.5,95,2.11,14
100D,4.5,97,2.16,14
79D,4.5,84,1.87,12
69D,4.5,85,1.89,12
86D,4.5,78,1.73,12
64D,4.5,85,1.89,11.5
65D,4.5,83,1.84,11
77D,4.5,66,1.47,8
70D,4.5,76,1.69,9.5
66D,3.5,89,2.54,16
31E,4.5,90,2.00,12.5
26E,4.5,88,1.96,12.5
33E,4.5,97,2.16,14
29E,4.5,97,2.16,13
34E,4,95,2.38,14.5
30E,4.5,87,1.93,12
24E,4.5,76,1.69,11
12E,4.5,98,2.18,14.5
22E,4,91,2.28,15
37E,3.5,92,2.63,16
40E,4.5,73,1.62,10
19E,4.5,90,2.00,14.5
17E,4.5,63,1.40,9
14E,4.5,78,1.73,10
35E,4.5,94,2.09,12
20E,4.5,80,1.78,10.5
38E,4.5,95,2.11,13
21E,4.5,71,1.58,10
05E,3.5,92,2.63,16.5
28E,4.5,77,1.71,10
25E,4.5,79,1.76,10
39E,4.5,70,1.56,9
16E,4.5,78,1.73,11
36E,4.5,87,1.93,12
07E,3.5,86,2.46,15
32E,3.5,91,2.60,15
27E,4.5,96,2.13,12.5
04E,4.5,39,0.87,5
09E,3.5,95,2.71,18
02E,3.5,87,2.49,16
18E,4.5,98,2.18,14.5
13E,3.5,92,2.63,17
10E,4,92,2.30,15
23E,4.5,68,1.51,8.5
15E,4,98,2.45,15.5
06E,4.5,82,1.82,11
03E,4.5,77,1.71,11
11E,4.5,83,1.84,10.5
08E,4.5,86,1.91,13
01E,4.5,98,2.18,14.5
26D,4.5,90,2.00,15
31D,4.5,79,1.76,10.5
27D,3.5,92,2.63,16
28D,3.5,91,2.60,16
22D,4.5,95,2.11,12
25D,4,98,2.45,15
24D,4.5,89,1.98,11.5
30D,3.5,89,2.54,16.5
21D,4.5,93,2.07,12.5
23D,4.5,66,1.47,8
29D,4.5,68,1.51,9
38D,4.5,80,1.78,10.5
76E,3.5,90,2.57,17
78E,4.5,97,2.16,14
74E,4.5,88,1.96,12.5
72E,4.5,67,1.49,9
73E,4.5,76,1.69,10.5
80E,4.5,87,1.93,13
66E,4.5,82,1.82,11.5
71E,4.5,77,1.71,11.5
65E,4.5,87,1.93,11.5
69E,4.5,86,1.91,11
52E,4.5,87,1.93,12
70E,4.5,86,1.91,12
54E,4.5,83,1.84,12
60E,4,97,2.43,15
79E,3.5,95,2.71,16
55E,4,94,2.35,15
61E,4,93,2.33,14
45E,4,96,2.40,15
75E,4.5,84,1.87,13
53E,4.5,83,1.84,12.5
56E,4.5,89,1.98,12
68E,4.5,88,1.96,12
64E,4.5,90,2.00,12.5
63E,4.5,38,0.84,4
77E,4.5,42,0.93,4.5
50E,4.5,91,2.02,11.5
59E,4.5,80,1.78,10.5
47E,4.5,84,1.87,12
43E,4.5,77,1.71,10.5
46E,4.5,88,1.96,14
58E,4.5,46,1.02,5.5
67E,3.5,93,2.66,16
44E,4.5,82,1.82,11.5
49E,4.5,86,1.91,12
41E,4.5,80,1.78,11.5
57E,4.5,85,1.89,12
62E,4.5,70,1.56,10
48E,3.5,90,2.57,16.5
51E,4.5,85,1.89,12
42E,4.5,47,1.04,5.5
