TEMP,TRTMENT,TANK,ID#,28-Jul,10-Aug,24-Aug,8-Sep,21-Sep,5-Oct,19-Oct,2-Nov,16-Nov,30-Nov,14-Dec,28-Dec
16,200,13,27F,1.622,1.622,1.622222222,1.622222222,1.644444444,1.8,1.777777778,1.777777778,1.8,2.022222222,2.044444444,2
16,200,13,07A,1.489,1.556,1.6,1.577777778,1.6,1.577777778,1.777777778,1.755555556,1.755555556,1.977777778,1.977777778,1.955555556
16,200,13,11A,1.911,1.889,1.911111111,2.111111111,2.088888889,2.066666667,2.088888889,2.35,2.375,2.325,2.325,2.325
16,200,13,71E,1.711,1.689,1.688888889,1.822222222,1.844444444,1.822222222,2.022222222,2.022222222,2.022222222,2.25,2.275,2.222222222
16,200,13,99A,1.956,1.933,1.955555556,1.98,1.955555556,1.977777778,2.044444444,2.022222222,2.022222222,2.25,2.275,2.222222222
16,200,13,31E,2.000,1.978,2,2,2.155555556,2.155555556,2.155555556,2.425,2.425,2.45,2.45,2.45
16,200,13,32A,1.844,1.867,2.044444444,2.044444444,2.044444444,2.044444444,2.275,2.25,2.275,2.542857143,2.571428571,2.542857143
16,200,13,99F,2.000,1.978,2,2.022222222,2.177777778,2.177777778,2.177777778,2.177777778,2.475,2.425,2.45,2.8
16,200,13,29E,2.178,2.156,2.155555556,2.177777778,2.425,2.4,2.4,2.685714286,2.714285714,2.714285714,3.033333333,3.033333333
16,200,13,13A,1.800,1.756,1.844444444,,,,,,,,,
16,800,14,41F,2.133,2.111,2.111111111,2.133333333,,,,,,,,
16,800,14,56E,2.178,2.178,2.2,2.177777778,2.2,2.2,2.425,2.4,2.425,2.425,2.8,2.771428571
16,800,14,77F,1.778,1.800,1.8,1.8,,,,,,,,
16,800,14,16G,1.844,1.844,1.822222222,1.822222222,1.822222222,2.044444444,2.066666667,2.044444444,2.35,2.325,2.3,2.628571429
16,800,14,78D,1.889,1.867,1.888888889,1.888888889,1.866666667,1.888888889,2.088888889,2.111111111,2.088888889,2.35,2.375,2.375
16,800,14,14E,1.867,1.889,1.888888889,1.888888889,1.888888889,1.888888889,2.066666667,2.111111111,2.425,2.4,2.4,2.425
16,800,14,25G,1.756,1.778,1.777777778,1.777777778,1.777777778,1.777777778,1.955555556,1.933333333,1.933333333,2.25,2.275,2.25
16,800,14,18B,1.556,1.556,1.555555556,1.555555556,1.555555556,1.555555556,1.6,1.688888889,1.688888889,1.911111111,1.888888889,1.911111111
16,800,14,69F,2.156,2.156,2.177777778,2.155555556,2.155555556,2.155555556,2.35,2.375,2.325,2.742857143,2.742857143,2.742857143
16,800,14,36B,2.044,2.067,2.066666667,2.066666667,2.066666667,2.066666667,2.088888889,2.3,2.275,2.3,2.6,2.571428571
16,600,15,34F,1.644,1.667,,,,,,,,,,
16,600,15,19D,1.911,2.044,2.022222222,2,2,2,2.133333333,2.111111111,2.133333333,2.155555556,2.375,2.425
16,600,15,57A,2.000,2.000,2,,,,,,,,,
16,600,15,60C,1.733,1.800,1.755555556,1.777777778,1.8,1.822222222,1.822222222,2.088888889,2.066666667,2.066666667,2.4,2.375
16,600,15,61B,2.178,2.375,2.35,2.35,2.3,2.6,2.6,2.628571429,3,3,2.933333333,3.36
16,600,15,18A,1.578,1.667,1.577777778,,,,,,,,,
16,600,15,30E,1.933,2.000,1.933333333,,,,,,,,,
16,600,15,53E,2.044,2.067,2.044444444,2.088888889,2.044444444,,,,,,,
16,600,15,54C,1.844,1.889,1.844444444,1.844444444,2.044444444,2.066666667,2.044444444,2.45,2.45,2.45,2.8,2.771428571
16,600,15,55D,1.778,2.000,1.911111111,1.911111111,1.911111111,2.133333333,2.133333333,2.133333333,2.475,2.475,2.45,2.857142857
16,1000,16,79D,1.956,1.844,1.866666667,2.111111111,2.066666667,2.133333333,2.45,2.5,2.857142857,2.8,2.8,3.166666667
